"Nom série","Note /5","Editeur","Genre","Scénariste","Dessinateur"
"Kickback","2 (1 avis)","Carabas","Policier/Thriller","Lloyd (David)","Lloyd (David)"
"Kids (les)","3.33 (3 avis)","Seuil","Roman Graphique","Matt (Joe)","Matt (Joe)"
"King","3 (1 avis)","Emmanuel Proust Éditions","Historique","Anderson (Ho Che)","Anderson (Ho Che)"
"King (le)","4 (1 avis)","Treize étrange","Inclassable","Koslowski (Rich)","Koslowski (Rich)"
"Kingdom Come","3.2 (10 avis)","Semic","Science-Fiction","Waid (Mark)","Ross (Alex)"
"Krazy Kat","4 (1 avis)","Futuropolis","Humour","Herriman (George)","Herriman (George)"
"Là où vont nos pères","4 (7 avis)","Dargaud","Conte","Tan (Shaun)","Tan (Shaun)"
"Lagon de Sherman (le)","2.5 (2 avis)","La Sirène","Humour","Toomey (Jim)","Toomey (Jim)"
"Leave it to Chance","3 (1 avis)","Semic","Fantasy","Robinson (James)","Smith (Paul)"
"Lenore","2.25 (4 avis)","Semic","Fantastique","Dirge (Roman)","Dirge (Roman)"
"Li'l Abner","3 (1 avis)","Ed. du Square/Futuropolis","Humour","Capp (Al)","Capp (Al)"
"Lignes de fuite","2 (1 avis)","Seuil","Roman Graphique","Johnson (R. Kikuo)","Johnson (R. Kikuo)"
"Ligue des Gentlemen Extraordinaires (la)","3.37 (19 avis)","Editions USA","Aventure","Moore (Alan)","O'Neill (Kevin)"
"Little Annie Fanny","4 (1 avis)","Editions Hors Collection","Humour","Kurtzman (Harvey)","Kurtzman (Harvey)/ Elder (Will)"
"Little Lit","2 (1 avis)","Seuil","Conte","Collectif","Collectif"
"Little Sammy Sneeze (Petit Sammy Éternue)","2 (2 avis)","Horay","Humour","McCay (Winsor)","McCay (Winsor)"
"Little Star","4 (5 avis)","Cà et Là","Roman Graphique","Watson (Andi)","Watson (Andi)"
"Lobo - Le Dernier Czarnien","2 (1 avis)","Comics USA","Science-Fiction","Grant (Alan)/Giffen (Keith)","Bisley (Simon)"
"Lobo - Le Noël de Lobo","3 (1 avis)","Comics USA","Science-Fiction","Grant (Alan)/Giffen (Keith)","Bisley (Simon)"
"Locas","3.8 (5 avis)","Seuil","Roman Graphique","Hernandez (Jaime)","Hernandez (Jaime)"
"Loki","3.5 (2 avis)","Panini Comics/Marvel","Fantasy","Rodi (Robert)","Ribic (Esad)"
"Louis Riel, l'insurgé","3.43 (7 avis)","Casterman","Historique","Brown (Chester)","Brown (Chester)"
"Love & Rockets X","2 (1 avis)","Rackham","Roman Graphique","Hernandez (Gilbert)","Hernandez (Gilbert)"
"Lovecraft (Soleil)","4 (2 avis)","Soleil","Inclassable","Giffen (Keith)","Breccia (Enrique)"
"Luc Bradefer - Brick Bradford","4 (1 avis)","Celeg/RTP/ANAF/Futuropolis/Serg/Slatkine/Rossel/","Science-Fiction","Ritt (William)","Gray (Clarence)"
"Maison au Bord du Monde (la)","3.5 (2 avis)","TOTH","Fantastique","Revelstroke (Simon)","Corben (Richard)"
"Maison des secrets (la)","4 (2 avis)","Le Téméraire","Fantastique","Seagle (Steven T.)","Kristiansen (Teddy)"
"Maîtres du désordre (les)","4 (2 avis)","Rackham","Fantastique","Tomlinson (John)","Snejbjer (Peter)"
"Male Call","3 (1 avis)","Futuropolis","Humour","Caniff (Milton)","Caniff (Milton)"
"Malédiction de Dracula (la)","3 (1 avis)","Vertige Graphic","Fantastique","Wolfman (Marv)","Colan (Gene)"
"Mandrake (Intégrale Soleil)","3.5 (2 avis)","Soleil","Fantastique","Falk (Lee)","Davis (Phil)"
"Mariée par correspondance","3.64 (11 avis)","Paquet","Roman Graphique","Kalesniko (Mark)","Kalesniko (Mark)"
"Marijuana à Tijuana","3 (1 avis)","Librairies Parallèles","Aventure","Holmes (Rand)","Holmes (Rand)"
"Marquis (G. Davis) (le)","4 (1 avis)","Les Humanoïdes Associés","Fantastique","Davis (Guy)","Davis (Guy)"
"Marshal Law","3 (2 avis)","Zenda","Science-Fiction","Mills (Pat)","O'Neill (Kevin)"
"Martha Washington - Liberty, un rêve américain","3.29 (7 avis)","Zenda","Science-Fiction","Miller (Frank)","Gibbons (Dave)"
"Martha Washington Goes to War","1 (2 avis)","Dark Horse France","Science-Fiction","Miller (Frank)","Gibbons (Dave)"
"Martha Washington sauve le monde","1 (3 avis)","Delcourt","Science-Fiction","Miller (Frank)","Gibbons (Dave)"
"Marvel zombies","3 (1 avis)","Panini Comics","Science-Fiction","Kirkman (Robert)","Phillips (Sean)"
"Marvels","2.8 (5 avis)","Panini Comics/Marvel","Science-Fiction","Busiek (Kurt)","Ross (Alex)"
"Masque à l'envers (le)","3 (1 avis)","Comics USA","Fantastique","Collectif","Bolton (John)"
"Maus","4.27 (49 avis)","Flammarion","Historique","Spiegelman (Art)","Spiegelman (Art)"
"Mémoires d'une vermine","3.33 (9 avis)","Albin Michel","Policier/Thriller","Trillo (Carlos)","Saenz Valiente (Juan)"
"Metal Gear Solid","3 (2 avis)","Soleil","Policier/Thriller","Oprisko (Kris)","Wood (Ashley)"
"Midnight Nation","3.62 (13 avis)","Semic","Fantastique","Straczynski (J. Michael)","Frank (Gary)"
"Miettes","5 (1 avis)","Seuil","Humour","Crumb (Robert)","Crumb (Robert)"
"Mille et Une Nuits (les)","2 (1 avis)","Les Humanoïdes Associés","Fantasy","Strnad (Jan)","Corben (Richard)"
"Ministère de l'Espace","3 (1 avis)","Semic","Science-Fiction","Ellis (Warren)","Weston (Chris)"
"Miracle Jones","3 (1 avis)","Serg","Humour","Hogarth (Burne)","Hogarth (Burne)"
"Miracleman","3.6 (5 avis)","Delcourt","Science-Fiction","Moore (Alan)","Davis (Alan)/Leach (Garry)"
"Mister Nostalgia","2 (1 avis)","Cornélius","Inclassable","Crumb (Robert)","Crumb (Robert)"
"Modesty Blaise","3 (1 avis)","Hachette/Glénat","Policier/Thriller","O'Donnell (Peter)","Holdaway (Jim)"
"Mon dernier jour au Vietnam","2 (2 avis)","Delcourt","Documentaire","Eisner (Will)","Eisner (Will)"
"Monde mutant","1 (1 avis)","Comics USA","Science-Fiction","Strnad (Jan)","Corben (Richard)"
"Mort blanche (la)","3 (1 avis)","Les Cartoonistes Dangereux","Historique","Morrison (Robbie)","Adlard (Charles)"
"Mort dans les yeux (la)","2 (2 avis)","Mosquito","Fantastique","Macan (Darko)","Zezelj (Danijel)"
"Mort@17","3 (1 avis)","Akileos","Fantastique","Howard (Josh)","Howard (Josh)"
"Move to the city","4 (1 avis)","B.ü.L.B. comix","Inclassable","Gauld (Tom)","Gauld (Tom)"
"Mr. Punch","3.33 (3 avis)","Reporter","Roman Graphique","Gaiman (Neil)","McKean (Dave)"
"Mudwog","3 (1 avis)","Glénat","Inclassable","Suydam (Arthur)","Suydam (Arthur)"
"Mysteres du Meurtre (les)","3.56 (9 avis)","Semic","Policier/Thriller","Gaiman (Neil)","Russel (Graig)"
"Mystérieuses enquêtes de Sandman (les)","3.5 (2 avis)","Le Téméraire","Policier/Thriller","Wagner (Matt)/Seagle (Steven T.)","Davis (Guy)"
"Mystic Funnies","4 (1 avis)","Zebu éditions(Psikopat)","Humour","Crumb (Robert)","Crumb (Robert)"
"Namor","2 (1 avis)","Panini Comics/Marvel","Science-Fiction","Jemas (Bill)/Watson (Andy)","Larroca (Salvador)/Olliffe (Patrick)"
"Nextwave","4 (1 avis)","Panini Comics","Science-Fiction","Ellis (Warren)","Immonen (Stuart)"
"Nick Fury","4 (1 avis)","Les Humanoïdes Associés/Semic","Aventure","Lee (Stan)","Kirby (Jack)"
"Nouvelle frontière (la)","4 (2 avis)","Panini Comics","Science-Fiction","Cooke (Darwyn)","Cooke (Darwyn)"
"Noyés (les)","4 (2 avis)","La Boîte à Bulles","Policier/Thriller","Kanan (Nabiel)","Kanan (Nabiel)"
"Nuits blanches","2 (1 avis)","Cà et Là","Roman Graphique","Orff (Joel)","Orff (Joel)"
"Nyx","3.33 (3 avis)","Marvel","Science-Fiction","Quesada (Joe)","Middelton (Joshua)"
"Obergeist","2.5 (2 avis)","Bulle Dog","Fantastique","Jolley (Dan)","Harris (Tony)"
"Odyssée Cosmique (l')","3 (1 avis)","Bethy","Science-Fiction","Starlin (Jim)","Mignola (Mike)"
"Ogre","3 (1 avis)","Les Humanoïdes Associés","Fantasy","Corben (Richard)","Corben (Richard)"
"Olympus","2 (1 avis)","Les Humanoïdes Associés","Fantasy","Johns (Geoff)/Grimminger (Kris)","Guice (Butch)"
"Oncle Picsou","3 (2 avis)","Edi-Monde/Dargaud","Jeunesse","Barks (Carl)","Barks (Carl)"
"Onslaught","3 (2 avis)","Panini Comics/Marvel","Science-Fiction","Collectif","Collectif"
"Originals","3.67 (6 avis)","Editions USA","Policier/Thriller","Gibbons (Dave)","Gibbons (Dave)"
"Palestine","2.8 (5 avis)","Vertige Graphic","Documentaire","Sacco (Joe)","Sacco (Joe)"
"Palomar City","4 (1 avis)","Seuil","Roman Graphique","Hernandez (Gilbert)","Hernandez (Gilbert)"
"Palooka","3 (1 avis)","Paquet","Science-Fiction","Vanloffelt/Fowler (Tom)","Fowler (Tom)"
"Parlez-moi de Mort","3 (1 avis)","Comics USA","Policier/Thriller","Abuli (Sanchez)","Bernet (Jordi)"
"Passage Afghan","4 (3 avis)","La Boîte à Bulles","Documentaire","Rall (Ted)","Rall (Ted)"
