"Nom série","Note /5","Editeur","Genre","Scénariste","Dessinateur"
"Spider-Man : Le dernier combat","4 (2 avis)","Panini Comics","Science-Fiction","Millar (Mark)","Dodson (Terry)/Cho (Frank)"
"Spider-Man : Perceptions","3 (2 avis)","Bethy","Fantastique","Mc Farlane (Todd)","Mc Farlane (Todd)"
"Spider-Man (Marvel Premium)","4 (1 avis)","Panini Comics","Fantastique","Straczynski (J. Michael)","Romita (John, Jr.)"
"Spider-Man (Ultimate)","3.5 (2 avis)","Panini Comics/Marvel","Fantastique","Bendis (Brian Michael)","Bagley (Mark)"
"Spider-Man Wolverine","2 (4 avis)","Panini Comics/Marvel","Fantastique","Matthews (Brett)","Mavlian (Vatche)"
"Spider-Man, L'intégrale","3.8 (5 avis)","Panini Comics/Marvel","Fantastique","Lee (Stan)","Ditko (Steve)/Romita (John Sr)/Buscema (John)"
"Spirit (le)","4 (1 avis)","Soleil","Policier/Thriller","Eisner (Will)","Eisner (Will)"
"Spooky","2.5 (2 avis)","Futuropolis","Humour","Holman (Bill)","Holman (Bill)"
"Star Wars","2 (1 avis)","Delcourt","Science-Fiction","Collectif (un auteur par album)","Collectif (un auteur par album)"
"Star Wars - Boba Fett","3 (1 avis)","Dark Horse France","Science-Fiction","Wagner (John)","Kennedy (Cam)"
"Star Wars - Chevaliers de l'Ancienne République","4 (2 avis)","Delcourt","Science-Fiction","Miller (John Jackson)","Ching (Brian)/Foreman (Travel)"
"Star Wars - Clone Wars","4.17 (6 avis)","Delcourt","Science-Fiction","Ostrander (John)/Blackman","Collectif (un auteur par album)"
"Star Wars - Clone Wars Episodes","3 (2 avis)","Delcourt","Science-Fiction","Collectif (un auteur par album)","Collectif (un auteur par album)"
"Star Wars - Jedi","3.67 (3 avis)","Delcourt","Science-Fiction","Ostrander (John)","Duursema (Jan)"
"Star Wars - L'Empire des Tenèbres","2 (3 avis)","Delcourt","Science-Fiction","Veitch (Tom)","Kennedy (Cam)"
"Star Wars - L'Empire Ecarlate","3 (2 avis)","Delcourt","Science-Fiction","Richardson (Mike)/ Stradley (Randy)","Gulacy (Paul)"
"Star Wars - Le Côté Obscur","2 (4 avis)","Delcourt","Science-Fiction","Marz/Macan","Fawler/Duursema/Gibbons"
"Star Wars - Les Ombres de l’Empire","4 (1 avis)","Delcourt","Science-Fiction","Wagner (John)","Plunkett (Killian)/Nadeau (John)"
"Star Wars - Nouvelle république","3 (1 avis)","Delcourt","Science-Fiction","Collectif (un auteur par album)","Collectif (un auteur par album)"
"Star Wars - X-Wing","3 (1 avis)","Delcourt","Science-Fiction","Collectif (un auteur par album)","Collectif (un auteur par album)"
"Steve Canyon","4 (1 avis)","Glénat/Gilou","Aventure","Caniff (Milton)","Caniff (Milton)"
"Strange Girl","2.5 (2 avis)","Bamboo","Fantastique","Remender (Rick)","Nguyen (Eric)"
"Strangers in Paradise","3.57 (7 avis)","Bulle Dog","Roman Graphique","Moore (Terry)","Moore (Terry)"
"Stray toasters","2 (1 avis)","Delcourt","Inclassable","Sienkiewicz (Bill)","Sienkiewicz (Bill)"
"Strip-Tease","3 (1 avis)","Seuil","Humour","Matt (Joe)","Matt (Joe)"
"Stripbook","1.5 (2 avis)","Mille Îles","Humour","Braün (Eric)","Braün (Eric)"
"Subatomic","2 (2 avis)","Akileos","Policier/Thriller","Neighly (Patrick)","Heufemann (Jorge)"
"Sugar Buzz","2 (1 avis)","La comédie illustrée","Humour","Carney (Ian)","Phoenix (Woodrow)"
"Supergirl","3 (1 avis)","Panini Comics","Science-Fiction","Loeb (Jeph)","Churchill (Ian)"
"Superman - Bon anniversaire Superman","4 (1 avis)","Comics USA","Science-Fiction","Moore (Alan)","Gibbons (Dave)"
"Superman - Fin de siècle","2.33 (3 avis)","Semic","Fantastique","Immonen (Stuart)","Immonen (Stuart)"
"Superman - For All Seasons","3 (2 avis)","Semic","Fantastique","Loeb (Jeph)","Sale (Tim)"
"Superman - Identité secrète","3.75 (4 avis)","Semic/Panini Comics","Fantastique","Busiek (Kurt)","Immonen (Stuart)"
"Superman - Jour de deuil","3 (1 avis)","Semic","Policier/Thriller","Jurgens (Dan)","Jurgens (Dan)"
"Superman - L'Homme d'Acier","3 (1 avis)","Panini Comics","Science-Fiction","Byrne (John)","Byrne (John)"
"Superman - La Mort de Superman","3.5 (2 avis)","Semic","Science-Fiction","Collectif","Collectif"
"Superman - Lex Luthor","3 (2 avis)","Panini Comics","Science-Fiction","Azzarello (Brian)","Bermejo (Lee)"
"Superman - Red Son","3 (3 avis)","Panini Comics","Science-Fiction","Millar (Mark)","Plunkett (Killian)"
"Superman (archives)","4 (1 avis)","Semic","Fantastique","Siegel (Jerry)","Shuster (Joe)"
"Superman / Batman","3 (3 avis)","Semic","Fantastique","Loeb (Jeph)","McGuiness (Ed)"
"Superman / Batman / Wonder Woman...","3.4 (5 avis)","Soleil","Fantastique","Dini (Paul)","Ross (Alex)"
"Suprême","3.67 (3 avis)","Delcourt","Fantastique","Moore (Alan)","Bennett (Joe)/Veitch (Rick)"
"Supreme Power","3 (2 avis)","Panini Comics/Marvel","Science-Fiction","Straczynski (J. Michael)","Frank (Gary)"
"Sur la terre comme au ciel","1 (1 avis)","Soleil","Fantastique","Tomasi","Snejbjer (Peter)"
"Surfer d'Argent (Moebius) (le)","3.5 (6 avis)","Soleil","Science-Fiction","Lee (Stan)","Moebius"
"Surfer d'Argent, l'Intégrale (le)","1.33 (3 avis)","Soleil","Science-Fiction","Lee (Stan)","Buscema (John)"
"Swamp Thing","3.14 (7 avis)","Delcourt","Fantastique","Wein (Len)/Moore (Alan)","Collectif (un auteur par album)"
"Système (le)","2 (1 avis)","Editions de l'An 2","Inclassable","Kuper (Peter)","Kuper (Peter)"
"Tales from the crypt","3 (1 avis)","Albin Michel","Fantastique","Davis (Jack)","Davis (Jack)"
"Tank Girl","2 (6 avis)","Vents d'Ouest","Humour","Martin (Alan)","Hewlett (Jamie)"
"Tarzan","1 (1 avis)","Soleil","Aventure","Kindzierski","Stan/Vince"
"Tarzan (anthologie)","3 (2 avis)","Azur/Soleil","Aventure","Rice Burroughs (Edgar)","Hogarth (Burne)"
"Tell me, Dark","2.67 (3 avis)","Emmanuel Proust Éditions","Roman Graphique","Williams/Wagner/Rieber","Williams (Kent)"
"Tellos","3.33 (3 avis)","Semic","Fantasy","Dezago (Todd)","Wieringo (Mike)"
"Temps Déchiré","2 (1 avis)","Comics USA","Science-Fiction","Jones (Bruce)","Corben (Richard)"
"Temps des Lumières (le)","2.33 (3 avis)","Erko","Science-Fiction","Harrison","Rennie (Gordon)"
"Terrain vague","2.33 (3 avis)","Cornélius","Humour","Kaz","Kaz"
"Terreurs Noires","3 (1 avis)","Soleil","Fantastique","Simonson (Walter)","Brereton (Daniel)"
"Terry et les pirates","4 (1 avis)","Slatkine/Futuropolis/Zenda","Aventure","Caniff (Milton)","Caniff (Milton)"
"Texarkana","2 (1 avis)","Akileos","Policier/Thriller","Neighly (Patrick)","Hadidiwidjaja (Donny)"
"The Authority","4 (2 avis)","Semic","Science-Fiction","Millar (Mark)","Quitely (Frank)"
"The Avengers (Les Vengeurs)","3 (1 avis)","Marvel-France/Maxi-Livres","Fantastique","Lee (Stan)","Kirby (Jack)"
"The Birthday Riots","2.67 (3 avis)","La Boîte à Bulles","Roman Graphique","Kanan (Nabiel)","Kanan (Nabiel)"
"The Boondocks","3.4 (5 avis)","Dargaud","Humour","Mc Gruder (Aaron)","Mc Gruder (Aaron)"
"The Creech","2.75 (4 avis)","Semic","Fantastique","Capullo (Greg)","Capullo (Greg)"
"The Crow","3 (2 avis)","Disjoncteur","Fantastique","O'Barr (James)","O'Barr (James)"
"The Darkness","3.5 (2 avis)","Editions USA","Fantastique","Ennis (Garth)","Silvestri (Marc)"
"The Filth","3 (1 avis)","Panini Comics","Science-Fiction","Morrisson (Grant)","Weston (Chris)"
"The Fountain","3.6 (5 avis)","Emmanuel Proust Éditions","Fantastique","Aronofsky (Darren)","Williams (Kent)"
"The Goon","3.7 (10 avis)","Delcourt","Fantastique","Powell (Eric)","Powell (Eric)"
"The Magdalena","2 (1 avis)","Editions USA","Fantastique","Chen (Marcia)","Benitez (Joe)"
"The Magic of Aria","2.8 (5 avis)","Semic","Fantastique","Holguin (Brian)","Anacleto (Jay)"
"The New Avengers","3 (1 avis)","Panini Comics","Science-Fiction","Bendis (Brian Michael)","Finch (David)"
"The Punisher","3 (4 avis)","Panini Comics/Marvel","Aventure","Ennis (Garth)","Collectif (un auteur par album)"
"The Quitter","4 (1 avis)","Panini Comics","Roman Graphique","Pekar (Harvey)","Haspiel (Dean)"
"The Red Star","3.8 (5 avis)","Semic","Science-Fiction","Gosset (Christian)","Gosset (Christian)"
"The Summer of Love","2 (1 avis)","L'Association","Roman Graphique","Drechsler (Debbie)","Drechsler (Debbie)"
"Thor - Vikings","2 (1 avis)","Panini Comics/Marvel","Fantastique","Ennis (Garth)","Fabry (Glenn)"
"Thunderdogs","4 (1 avis)","Artefact","Inclassable","Emerson (Hunt)","Emerson (Hunt)"
"Tom Strong","3.29 (7 avis)","Semic","Science-Fiction","Moore (Alan)","Sprouse (Chris)"
"Tomb Raider (édition USA)","2 (5 avis)","Editions USA","Aventure","Jurgens (Dan)","Park/Lopez/Basaldura"
"Tombeau (le)","2.5 (2 avis)","Akileos","Fantastique","Weir (Christina)/DeFilippis (Nunzio)","Mitten (Christopher)"
"Top 10","3.9 (10 avis)","Semic","Science-Fiction","Moore (Alan)","Ha (Gene)"
"Top 10 - The Forty-Niners","4 (1 avis)","Panini Comics","Science-Fiction","Moore (Alan)","Ha (Gene)"
"Torso","2.71 (7 avis)","Semic","Policier/Thriller","Andreyko (Marc)/Bendis (Brian Michael)","Bendis (Brian Michael)"
"Tortues Ninja (les)","3 (1 avis)","Comics USA","Science-Fiction","Eastman (Kevin)/Laird (Peter)","Eastman (Kevin)/Laird (Peter)"
"Transformers","2 (1 avis)","Semic","Science-Fiction","Sarracini (Chris)","Lee (Pat)"
"Transmetropolitan","2.5 (2 avis)","Le Téméraire","Science-Fiction","Ellis (Warren)","Robertson (Darick)"
"Tribu Terrible (la)","3.33 (6 avis)","Dargaud","Humour","Bess (Gordon)","Bess (Gordon)"
"Trinité","4 (1 avis)","Panini Comics","Science-Fiction","Wagner (Matt)","Wagner (Matt)"
"Tu m'aimeras encore si je fais pipi au lit ?","2.5 (2 avis)","Cà et Là","Roman Graphique","Prince (Liz)","Prince (Liz)"
"Tue-moi à en crever","3 (4 avis)","Delcourt","Policier/Thriller","Lapham (David)","Lapham (David)"
"Ultimates","4 (4 avis)","Panini Comics/Marvel","Science-Fiction","Millar (Mark)","Hitch (Bryan)"
"Ultra","3.75 (4 avis)","Delcourt","Fantastique","Luna (Joshua)","Luna (Jonathan)"
"Un Américain en Balade","3.18 (11 avis)","Casterman","Roman Graphique","Thompson (Craig)","Thompson (Craig)"
"Un goût de cendres","3 (2 avis)","La comédie illustrée","Policier/Thriller","Christensen (Dan)","Christensen (Dan)"
"Un Monde de différence","3.75 (4 avis)","Vertige Graphic","Roman Graphique","Cruse (Howard)","Cruse (Howard)"
"Un Pacte avec Dieu","3.4 (5 avis)","Delcourt","Roman Graphique","Eisner (Will)","Eisner (Will)"
"Uncle Sam","2.75 (8 avis)","Semic","Inclassable","Darnall (Steve)","Ross (Alex)"
"Une Affaire de famille","3 (1 avis)","Editions USA","Roman Graphique","Eisner (Will)","Eisner (Will)"
"Une Petite mort","3.67 (3 avis)","Seuil","Roman Graphique","Moore (Alan)","Zarate (Oscar)"
"Une tragédie américaine","4 (2 avis)","Denoël Graphic","Roman Graphique","Deitch (Kim)","Deitch (Kim)"
"Une vie de chien","3 (1 avis)","Hors collection (Presses de la cité)","Humour","O'Hare (Mark)","O'Hare (Mark)"
"Univers des Super-Héros DC par Alan Moore (l')","3 (1 avis)","Panini Comics","Science-Fiction","Moore (Alan)","Collectif (un auteur par album)"
"Usagi Yojimbo","3.8 (5 avis)","Paquet","Aventure","Sakai (Stan)","Sakai (Stan)"
"V pour Vendetta","3.95 (39 avis)","Delcourt","Policier/Thriller","Moore (Alan)","Lloyd (David)"
"Valse des Alliances (la)","3 (4 avis)","Delcourt","Roman Graphique","Eisner (Will)","Eisner (Will)"
"Vampirella","3 (1 avis)","Ed. du Triton/Soleil","Fantastique","Englehart/Brennan/Buzz","Gonzalès/Sniegoski"
"Veuve noire","1 (1 avis)","Panini Comics/Marvel","Policier/Thriller","Rucka (Greg)","Kordey (Igor)"
"Vie est belle malgré tout (la)","3.5 (8 avis)","Les Humanoïdes Associés","Roman Graphique","Seth","Seth"
"Violent Cases","3 (3 avis)","Au Diable Vauvert","Roman Graphique","Gaiman (Neil)","McKean (Dave)"
"Voie du samouraï (la)","3 (2 avis)","Semic","Médiéval Fantastique","Marz (Ron)","Sears (Bart)"
"Walking Dead","3.6 (5 avis)","Delcourt/Semic","Fantastique","Kirkman (Robert)","Moore (Terry)"
"Watchmen","4.45 (42 avis)","Delcourt","Science-Fiction","Moore (Alan)","Gibbons (Dave)"
"WE3","4 (1 avis)","Panini Comics","Science-Fiction","Morrisson (Grant)","Quitely (Frank)"
"Whiteout","3.33 (6 avis)","Akileos","Policier/Thriller","Rucka (Greg)","Lieber (Steve)"
"Wildguard - Téléréalité","2 (1 avis)","Bamboo","Science-Fiction","Nauck (Todd)","Nauck (Todd)"
"Wimbledon Green","3.5 (8 avis)","Seuil","Roman Graphique","Seth","Seth"
"Witchblade","2.4 (10 avis)","Editions USA","Fantastique","Wohl/Haberlin","Turner/Green"
"Wolverine - Aux Coeurs des Ténèbres","2 (1 avis)","Bethy","Fantastique","Mackie (Howard)","Romita (John, Jr.)"
"Wolverine - Je suis Wolverine","3.5 (2 avis)","Bethy","Fantastique","Claremont (Chris)","Miller (Frank)"
"Wolverine - Jungle Saga","3 (3 avis)","Bethy","Fantastique","Simonson (Walter)","Mignola (Mike)"
"Wolverine - l'Arme X","3.67 (3 avis)","Bethy","Science-Fiction","Windsor-Smith (Barry)","Windsor-Smith (Barry)"
"Wolverine - La mort aux trousses","3 (2 avis)","Panini Comics/Marvel","Fantastique","Ellis (Warren)","Yu (Leinil Francis)"
"Wolverine - les origines","3 (3 avis)","Panini Comics/Marvel","Fantastique","Jenkins (Paul)/Quesada (Joe)","Kubert (Andy)"
"Wolverine - Possession","2.5 (2 avis)","Bethy","Fantastique","Neary (Paul)","Davis (Alan)"
"Wolverine - Saudade","2.67 (3 avis)","Panini Comics","Science-Fiction","Morvan (Jean David)","Buchet (Philippe)"
"Wolverine - Snikt !","2 (3 avis)","Panini Comics/Marvel","Science-Fiction","Nihei (Tsutomu)","Nihei (Tsutomu)"
"Wolverine Hulk","3.5 (2 avis)","Panini Comics/Marvel","Fantastique","Kieth (Sam)","Kieth (Sam)"
"Wolverine Netsuke","3 (2 avis)","Panini Comics/Marvel","Fantastique","Pratt (George)","Pratt (George)"
"Wonder Woman - Hiketeia","2.75 (4 avis)","Semic","Fantastique","Rucka (Greg)","Jones (JG)"
"X-Men - Les enfants de l'atome","2.67 (3 avis)","Panini Comics/Marvel","Fantastique","Casey (Joe)","Rude (Steve)/Smith (Paul)/Ryan (Matt)/Ribic (Essad"
"X-Men - Les leçons de la vie","2 (1 avis)","Panini Comics/Marvel","Fantastique","Kelly (Joe)/Casey (Joe)","Pacheco (Carlos)/Johnson (Jeff)"
"X-Men - Opération : Tolérance Zéro","3 (1 avis)","Panini Comics/Marvel","Fantastique","Lobdell (Scott)/Seagle (Steven T.)","Pacheco (Carlos)/Ferry (Pascual)/Larroca (Salvador"
"Y, Le Dernier Homme","3.67 (6 avis)","Semic/Panini Comics","Fantastique","Vaughan (Brian K.)","Guerra (Pia)"
"Yeux à vif (les)","3.5 (6 avis)","Delcourt","Roman Graphique","Tomine (Adrian)","Tomine (Adrian)"
"Yum Yum Book","2 (1 avis)","Denoël Graphic","Conte","Crumb (Robert)","Crumb (Robert)"
"Zits","2.5 (4 avis)","Rackham","Humour","Scott (Jerry)","Borgman (Jim)"
"Zombies","2 (2 avis)","Albin Michel","Fantastique","Mignola (Mike)","Mc Eown (Pat)"
"Zombies qui ont mangé le monde (les)","3.25 (8 avis)","Les Humanoïdes Associés","Humour","Frissen (Jerry)","Davis (Guy)"
"Zone d'ombre","2.5 (2 avis)","Delcourt","Fantastique","Brunswick (Glen)","Romita (John, Jr.)"
"Zorro","3 (1 avis)","Hemma/MCL/Hachette/Futuropolis","Western","Collectif (un auteur par album)","Collectif (un auteur par album)"
